type_id,manufacturer,model,series
_SF2_2,Sisler Aircraft Company,Sisler SF-2 Cygnet,SF2
_SF25_1,Aeronautica Umbra SA,Umbra SF-25 Falke,SF25
_SF25_2,Lorraine Aviation,Loravia SF-25 Falke,SF25
_SF25_3,Sportavia-Pützer GmbH u.Co.KG,Sportavia-Putzer SF-25 Falke,SF25
_SF25_4,Vickers-Slingsby,Vickers-Slingsby T-61 Venture,SF25
_SF25_5,Slingsby Aviation,Slingsby T.61 Venture,SF25
_SGRA_1,Prestige Aircraft Company LLC,Prestige Storm Rally,SGRA
_SGRA_2,StormAircraft Srl,Stormaircraft Rally,SGRA
_SNGY_1,Lancair International Inc,Lancair T-90 Calima,SNGY
_SQES_1,Innovation Engineering Inc,Innovation SkyQuest,SQES
_ST75_1,The Boeing Company,Boeing 75 Kaydet,ST75
_STRM_1,SG Aviation,SG Aviation Storm,STRM
_SUCO_1,Panha Iran Helicopter Support and Renewal Company,Panha 2091,SUCO
_SV4_1,Atelier Industriel de l'Aéronautique d'Alger (AIAA),AIAA SV-4,SV4
_SV4_2,Nord Aviation,Nord SV-4,SV4
_SYMP_1,OMF Flugzeugwerke GmbH,OMF-100 Symphony,SYMP
_SZ9M_1,Zaklad Naprawy i Budowy Sprzetu Latajacego Yalo SC,Yalo SZD-9bis Bocian M-2000,SZ9M
_T18_1,Classic Sport Aircraft,Classic Sport S-18,T18
_T18_2,Sunderland Aircraft,Sunderland S-18,T18
_T2_1,North American Rockwell Corporation,North American Rockwell T-2 Buckeye,T2
_T2_2,Rockwell International,Rockwell T-2 Buckeye,T2
_T211_1,AD Aerospace plc,Ad Aerospace T-211,T211
_T211_2,DM Aerospace Ltd,Dm Aerospace T-211,T211
_T211_3,IndUS Aviation Inc,Indus T-211 Thorpedo,T211
_T211_4,Star of Phoenix Aircraft,Starpac Phoenix Flyer,T211
_T211_5,Taneja Aerospace and Aviation Ltd,Taneja T-211,T211
_T211_6,Venture Light Aircraft Resources LLC,Venture T-211,T211
_T211_7,Adams Industries Inc,Adams T-211,T211
_T28_1,Hamilton Metalplane Company,Hamilton T-28 Nomair,T28
_T28_2,PacAero Engineering Corporation,Pacaero T-28 Nomad,T28
_T28_3,Pacific Airmotive Corporation,Pacific Airmotive T-28 Nomad,T28
_T28_4,Sud Aviation,Sud T-28 Fennec,T28
_T33_1,Canadair Ltd,Canadair T-33 Silver Star,T33
_T33_2,Kawasaki Heavy Industries Aerospace Company,Kawasaki T-33,T33
_T34P_1,Canadian Car & Foundry Company Ltd,CCF T-34 Mentor,T34P
_T34P_2,Dirección Nacional de Investigaciones y Fabricaciones Aer.,Dinfia T-34 Mentor,T34P
_T34P_3,Fuji Heavy Industries,Fuji T-34 Mentor,T34P
_T34T_1,Fuji Heavy Industries,Fuji T-3Kai,T34T
_T6_1,Canadian Car & Foundry Company Ltd,CCF T-6 Harvard,T6
_T6_2,Noorduyn Norseman Aircraft Ltd,Noorduyn AT-16 Harvard,T6
_TAIL_1,Aircraft Spruce & Specialty Company,Aircraft Spruce W-10 Tailwind,TAIL
_TAIL_2,AJEP Developments,Ajep W-8 Tailwind,TAIL
_TAYA_1,Taylor-Young Airplane Company,Taylor-Young A,TAYA
_TB30_1,Aérospatiale,Aerospatiale TB-30 Epsilon,TB30
_TB30_2,Oficinas Gerais de Material Aeronáutica,Ogma TB-30 Epsilon,TB30
_TEAL_1,Schweizer Aircraft Corporation,Schweizer TSC-1 Teal,TEAL
_TEAL_2,Teal Aircraft Corporation,Teal TSC-1 Teal,TEAL
_TEX2_1,Raytheon Aircraft Company,Raytheon T-6 Texan 2,TEX2
_TF21_1,Taylor Kits Corporation,Taylor Kits T-Kraft,TF21
_TFUN_1,TWI Flugzeuggesellschaft mbH,Twi Taifun,TFUN
_TIGR_1,Australian Aerospace Pty Ltd,Australian Aerospace EC-665 Tiger,TIGR
_TIGR_9,Airbus Helicopters,Airbus Helicopters Tiger,TIGR
_TOR_1,Aeritalia-Societé Aerospaziale Italiana pA,Aeritalia Tornado,TOR
_TOR_2,BAC (British Aircraft Corporation),Tornado,TOR
_TOR_3,Britisch Aerospace (BAe),Tornado,TOR
_TOR_4,Messerschmitt-Bölkow-Blohm (MBB),Tornado,TOR
_TOUR_1,Victa Ltd,Victa Airtourer,TOUR
_TOUR_2,Millicer Aircraft Industries Pty Ltd,Millicer M-10 AirTourer,TOUR
_TR20_1,G.Feugray,Feugray TR-200,TR20
_TUCA_1,"Arab Organisation for Industrialisation,Aircraft Factory",Aoi EMB-312 Tucano,TUCA
_TUCA_2,Short Brothers plc,Short S-312 Tucano,TUCA
_UH12_1,Fairchild Hiller Corporation,Fairchild Hiller UH-12E,UH12
_UH12_2,Rogerson Hiller Corporation,Rogerson Hiller UH-12E Hauler,UH12
_V10_1,North American Rockwell Corporation,North American Rockwell OV-10 Bronco,V10
_V10_2,Rockwell International,Rockwell OV-10 Bronco,V10
_VALI_1,Convair,Convair V-54 Valiant,VALI
_VTUR_1,NuVenture Aircraft,Nuventure Venture,VTUR
_VW10_1,Helmut Wilden,Wilden VoWi-10,VW10
_WACF_1,Classic Aircraft Corporation,Classic Waco Classic,WACF
_WACF_2,Waco Aircraft Company Ohio Inc,Waco Ohio YMF,WACF
_WACF_3,WACO Classic Aircraft Corporation,Waco Classic YMF,WACF
_WHIT_1,Phillips & Powis Aircraft Ltd,Phillips & Powis Whitney Straight,WHIT
_WHK2_1,Rutan Aircraft Factory Inc,Rutan 348 White Knight Two,WHK2
_WHKN_1,Rutan Aircraft Factory Inc,Rutan 318 White Knight,WHKN
_WOPU_1,H.L.Woods,Woods Woody Pusher,WOPU
_YK11_1,Let Kunovice,Let C-11,YK11
_YK18_1,Nanchang Aircraft Manufacturing Company,Nanchang CJ-5,YK18
_YK52_1,Intreprinderea de Avioane Bacau,Yak-52,YK52
_YK52_2,SC Aerostar SA,Yak-52,YK52
_Z26_1,Zlin,Zlín Z-26 Trener,Z26
_Z42_1,Zlin,Zlín Z-42,Z42
A122,Aerotec SA Industria Aeronáutica,Aerotec A-122 Uirapuru,A122
A129,Agusta,Agusta A-129 Mangusta,A129
A16,Aviadesign Inc,Aviadesign A-16 Sport Falcon,A16
A210,Aquila Technische Entwicklungen GmbH,Aquila A-210,A210
A223,OSKBES Moskovskogo Aviatsionnogo Instituta,MAI-223 Kityonok,A223
A37,Cessna Aircraft Company,Cessna A-37 Dragonfly,A37
A3ST,Airbus SAS,Airbus A300-600ST Beluga,A3ST
A5,Icon Aircraft,Icon A-5,A5
A504,Avro (A.V.Roe & Company),Avro 504,A504
A6,Grumman Aerospace Corporation,Grumman A-6 Intruder,A6
A600,Rotorway Aircraft Inc,Rotorway A-600 Talon,A600
A890,Aviatika JSC,Aviatika MAI-890,A890
AA1,Grumman American Aviation Corporation,Grumman American AA-1 Trainer,AA1
AAT3,Aero Sp z oo,Aero AT-3,AAT3
AC10,FD-Composites GmbH,FD-Composites AC-10 Arrow-Copter,AC10
AC5M,AviaStroitel Ltd,Aviastroitel AC-5M,AC5M
ACAM,Lockwood Aviation Inc,Lockwood Air Cam,ACAM
ACED,John C.Powell,Powell P-70 Acey Deucy,ACED
ACJR,Spencer Amphibian Aircraft Inc,Spencer Air Car Junior,ACJR
AERK,Aeronca Aircraft,Aeronca Model K Scout,AERK
AFOX,Halley Kft,Apolló Fox,AFOX
AGSH,Aero Gare,Aero Gare Sea Hawker,AGSH
AI10,OOO Aviaklub Ikar,Ikar Ai-10,AI10
AIRL,Aéronix SARL,Aeronix Airelle,AIRL
AJET,- see DASSAULT and DORNIER,Dassault-Dornier Alpha Jet,AJET
AKOY,Lisa Airplanes SA,LISA Akoya,AKOY
ALGR,Fantasy Air sro,Fantasy Air Allegro,ALGR
ALIG,Arion Aircraft LLC,Arion Lightning,ALIG
ALSL,AirLony - Petr Lonsky,AirLony Skylane,ALSL
ALTO,Direct Fly sro,Direct Fly Alto,ALTO
AM3,- see AERITALIA and AERMACCHI,Aeritalia-Aermacchi AM-3,AM3
AP20,Aeroprakt Firma,Aeroprakt A-20 Vista,AP20
AP22,Aeroprakt Firma,Aeroprakt A-22 Foxbat,AP22
AP26,Aeroprakt Firma,Aeroprakt A-26 Vulcan,AP26
AP36,Aeroprakt Firma,Aeroprakt A-36 Vulcan,AP36
APM2,Issoire Aviation SA,Issoire APM-20 Lionceau,APM2
AR11,Aeronca Aircraft,Aeronca 11 Chief,AR11
AR50,Aeronca Aircraft,Aeronca 50 Chief,AR50
AR5T,Aeronca Aircraft,Aeronca 50 Tandem,AR5T
AR65,Aeronca Aircraft,Aeronca 65 Super Chief,AR65
AR6T,Aeronca Aircraft,Aeronca 65 Tandem,AR6T
AR79,Arado Flugzeugwerke GmbH,Arado Ar 79,AR79
ARCE,Schempp-Hirth Flugzeugbau GmbH,Schempp-Hirth Arcus E,ARCE
ARCP,Schempp-Hirth Flugzeugbau GmbH,Schempp-Hirth Arcus M/P,ARCP
ARKS,Aceair SA,Aceair AERIKS 200,ARKS
ARV1,ARV Aviation Ltd,ARV Super 2,ARV1
ARWF,Arrow Airplane & Motors Corporation,Arrow Model F Sport,ARWF
AS16,Alexander Schleicher GmbH & Co,Schleicher ASK 16,AS16
AS21,Alexander Schleicher GmbH & Co,Schleicher ASK 21,AS21
AS25,Alexander Schleicher GmbH & Co,Schleicher ASH 25,AS25
AS30,Alexander Schleicher GmbH & Co,Schleicher ASH 30,AS30
AS80,André Starck,Starck AS-80 Holiday,AS80
ASTO,Costruzioni Aeronautiche Tecnam,Tecnam Astore,ASTO
AT3,Aerospace Industrial Development Corporation (IADC),AIDC AT-3 Tz-Chiang,AT3
AT5P,Air Tractor Inc,Air Tractor AT-501,AT5P
AT8T,Air Tractor Inc,Air Tractor AT-802,AT8T
ATG1,Aviation Technology Group Inc (ATG),ATG Javelin,ATG1
ATIS,Aircraft Technologies Inc,Aircraft Technologies Atlantis,ATIS
ATL,Avions Robin,Robin ATL,ATL
AUJ2,Auster Aircraft Ltd,Auster J/2 Arrow,AUJ2
AUJ4,Auster Aircraft Ltd,Auster J/4 Archer,AUJ4
AUS6,Auster Aircraft Ltd,Auster AOP.6,AUS6
AUS7,Auster Aircraft Ltd,Auster T7,AUS7
AV68,Alpla-Werke Alwin Lechner OHG,Alpla AVo-68 Samburo,AV68
AVID,Avid Aircraft Inc,Avid Flyer,AVID
AVIN,Avro (A.V.Roe & Company),Avro 594 Avian,AVIN
AVTR,Aero Adventure Inc,Aero Adventure Aventura 2,AVTR
B13,Akademische Fliegergruppe Berlin eV,Akaflieg Berlin B13,B13
B2,Northrop Grumman Corporation,Northrop Grumman B-2 Spirit,B2
B209,Messerschmitt-Bölkow-Blohm (MBB),MBB BO-209 Monsun,B209
B47G,Bell Helicopter,Bell 47G Trooper,B47G
B47J,Bell Helicopter,Bell 47J Ranger,B47J
B47T,Soloy Conversions Ltd,Soloy Bell 47,B47T
BABY,Canadian Home Rotors Inc,Canadian Home Rotors Baby Belle,BABY
BARC,Jeffair Corporation,Jeffair Barracuda,BARC
BASS,Beagle Aircraft Limited,Beagle B.206 Basset,BASS
BD10,Bede Aircraft Corporation,Bede BD-10,BD10
BD12,Bede Aircraft Corporation,Bede BD-12,BD12
BDOG,Scottish Aviation Ltd,Scottish Aviation SK61 Bulldog,BDOG
BE77,Beech Aircraft,Beechcraft Model 77 Skipper,BE77
BER2,Beriev Aircraft Company,Beriev Be-200 Altair,BER2
BFIT,Bristol Aeroplane Company,Bristol F.2 Fighter,BFIT
BILO,Louis Pena,Pena Bilouis,BILO
BIRD,C.Gilbert Taylor,Taylor Bird,BIRD
BISC,Bilsam Aviation,Bilsam Sky Cruiser,BISC
BL8,American Champion Aircraft Corporation,American Champion 8KCAB Decathlon,BL8
BLBU,Ameur Aviation SA,Ameur Balbuzard,BLBU
BOLT,Lamar Steen,Steen Skybolt,BOLT
BPOD,Scaled Composites,Scaled Composites Model 367 BiPod,BPOD
BR14,Breguet Aviation,Breguet 14,BR14
BR60,Brumby Aircraft Australia Pty Ltd,Brumby 600,BR60
BR61,Brumby Aircraft Australia Pty Ltd,Brumby 610 Evolution,BR61
BRAV,Costruzioni Aeronautiche Tecnam,Tecnam P2004 Bravo,BRAV
BRB2,Brantly International,Brantly B-2,BRB2
BREZ,Breezer Aircraft GmbH & Co KG,Breezer Breezer,BREZ
BU31,Bücker-Flugzeugbau GmbH,Bücker Bü 131 Jungmann,BU31
BU81,Bücker-Flugzeugbau GmbH,Bücker Bü 181 Bestmann,BU81
BUC,Hawker Siddeley,Hawker Siddeley Buccaneer,BUC
BUCA,Advanced Aeromarine,Advanced Aeromarine Buccaneer,BUCA
BULT,Brokaw Aviation Inc,Brokaw BJ-520 Bullet,BULT
BX2,Brändli,Brändli BX-2 Cherry,BX2
C101,Construcciones Aeronáuticas SA (CASA),CASA C-101 Aviojet,C101
C120,Cessna Aircraft Company,Cessna 120,C120
C140,Cessna Aircraft Company,Cessna 140,C140
C150,Cessna Aircraft Company,Cessna 150 Commuter,C150
C152,Cessna Aircraft Company,Cessna 152,C152
C162,Cessna Aircraft Company,Cessna 162 Skycatcher,C162
C22J,Caproni,Caproni Vizzola C22J Ventura,C22J
C270,Société des Avions Caudron,Caudron C.270 Luciole,C270
C365,Eidgenössische Konstruktions Werkstätte,EKW C-3605,C365
C42,Comco Ikarus GmbH,Ikarus C42,C42
C526,Cessna Aircraft Company,Cessna 526 CitationJet,C526
CA25,Commonwealth Aircraft Corporation (CAC),Commonwealth CA-25 Winjeel,CA25
CA41,Corvus Aircraft Ltd,Corvus CA-41 Racer,CA41
CA65,Anton Cvjetkovic,Cvjetkovic CA-65 Skyfly,CA65
CABI,Universal Composite Aviation,Universal Composite Aviation Carbon Bird,CABI
CAD2,Bushcaddy Aircraft Canada,BushCaddy R-80,CAD2
CAD4,Bushcaddy Aircraft Canada,BushCaddy L-160,CAD4
CAMP,Bernard H.Pietenpol,Pietenpol Air Camper,CAMP
CAPL,Capella Aircraft Corporation,Capella,CAPL
CAR,Aerocar Inc,Aerocar,CAR
CB1,John D.Hatz,Hatz CB-1 Biplane,CB1
CDUS,AutoGyro GmbH,AutoGyro Calidus,CDUS
CE23,Opytnyi Konstruktorskoye Byuro Chernov B & M OOO,Chernov Che-23,CE23
CELR,Mirage Aircraft Inc,Mirage Celerity,CELR
CFRE,Colyaer - Construcciones Ligeras y Aeronáuticas SL,Colyaer Freedom,CFRE
CGAN,Colyaer - Construcciones Ligeras y Aeronáuticas SL,Colyaer Gannet,CGAN
CH20,Zenair Ltd,Zenair CH-200 Zénith,CH20
CH25,Zenair Ltd,Zenair CH-250 Zénith,CH25
CH2T,Aircraft Manufacturing and Design Co.,AMD CH-2000 Alarus,CH2T
CH60,Aircraft Manufacturing and Design Co.,AMD Zodiac,CH60
CH7,CH-7 Heli-Sport Srl.,Heli-Sport CH-7 Kompress,CH7
CH70,Zénith Aircraft Company,Zenith CH-701 STOL,CH70
CH75,Aircraft Manufacturing and Design Co.,AMD CH-750 STOL,CH75
CH7A,Aeronca Aircraft,Aeronca 7 Champion,CH7A
CH7B,American Champion Aircraft Corporation,American Champion 7GCBC Citabria Explorer,CH7B
CHCS,Alpaero-Noin Aéronautique,Alpaero Choucas,CHCS
CHSY,Chayair Manufacturing and Aviation,Chayair Sycamore,CHSY
CICA,Hydroplane Ltd,Hydroplane Cicada,CICA
CJ6,Nanchang Aircraft Manufacturing Company,Nanchang CJ-6,CJ6
CL41,Canadair Ltd,Canadair CL-41 Tutor,CL41
CLA,Callair Inc,Callair Model A,CLA
CLBR,Fisher Flying Products,Fisher Celebrity,CLBR
CLD2,Rotortec GmbH,Rotortec Cloud Dancer 2,CLD2
CLDS,Rearwin Aircraft & Engines Inc,Rearwin Cloudster,CLDS
CLON,AutoGyro GmbH,AutoGyro Cavalon,CLON
CMA3,Colyaer - Construcciones Ligeras y Aeronáuticas SL,Colyaer Martin 3 S100,CMA3
CNGP,Cessna Aircraft Company,Cessna NGP,CNGP
CNUK,Fleet Aircraft Inc,Fleet 80 Canuck,CNUK
COOT,Aerocar Inc,Aerocar Coot,COOT
CORO,Corvus Aircraft Ltd,Corvus Corone,CORO
CORR,Sivel Srl,Sivel SD27 Corriedale,CORR
COUG,Robert E.Nesmith,Nesmith Cougar,COUG
COY2,Rans Inc,Rans S-6 Coyote 2,COY2
CP10,Avions Mudry & Cie,Mudry CAP-10,CP10
CP13,Piel Aviation SA,Piel Super Emeraude (CP-1310/1315/1330),CP13
CP22,Richard Giles,Giles G-202,CP22
CP30,Piel Aviation SA,Piel CP-30 Emeraude,CP30
CP32,Piel Aviation SA,Piel Super Emeraude (CP-320/325/328),CP32
CP65,Porterfield Aircraft Corporation,Porterfield CP-65 Collegiate,CP65
CR10,Société Dyn'Aero,Dyn'Aero CR-100,CR10
CRER,Rans Inc,Rans S-7 Courier,CRER
CRIO,Microleve,Microleve Corsario,CRIO
CRUZ,Czech Sport Aircraft,CZAW SportCruiser,CRUZ
CT4,Pacific Aerospace Ltd,PAC CT/4 Airtrainer,CT4
CTAH,Rainbow Aircraft Pty Ltd,Rainbow Cheetah,CTAH
CTLN,Fly Synthesis Srl,Fly Synthesis Catalina,CTLN
CUB2,Aces High Light Aircraft Ltd,Aces High Cuby 2,CUB2
CUCA,Culver Aircraft Company,Culver PQ-8 Cadet,CUCA
CULP,Culps Specialties,Culp Special,CULP
CULV,Culver Aircraft Company,Culver Model V,CULV
CULX,Fisher Aero Corporation,Fisher Aero Culex,CULX
CX5,Thatcher Aircraft Inc,Thatcher CX-5,CX5
CYGT,Hawker Aircraft,Hawker Cygnet,CYGT
D1,Wing Aircraft Company,Wing D-1 Derringer,D1
D11,Avions Jodel SA,Jodel D-11,D11
D139,H F Dorna Company,Dorna D-139 Parandeh Abi,D139
D150,Avions Jodel SA,Jodel D-150 Mascaret,D150
D18,Avions Jodel SA,Jodel D-18,D18
D201,Nicholas E.D'Apuzzo,D'Apuzzo D-201 Sportwing,D201
D4,Auster Aircraft Ltd,Auster D.4,D4
D5TU,Avions Roger Druine,Druine D-5 Turbi,D5TU
D6CR,Avions Roger Druine,Druine D.60 Condor,D6CR
DA2,Leeon D.Davis,Davis DA-2,DA2
DA20,Diamond Aircraft,Diamond DA-20 A1,DV20
DA36,Diamond Aircraft,Diamond DA-36 E-Star,DA36
DAKH,Fisher Flying Products,Fisher Dakota Hawk,DAKH
DAL1,Tony and Dorothy Spezio,Spezio Sport DAL-1 Tuholer,DAL1
DAL4,WD Flugzeugleichtbau GmbH,Dallach D-4 Fascination,DAL4
DAL5,WD Flugzeugleichtbau GmbH,Dallach D-5 Evolution,DAL5
DFLY,Viking Aircraft Ltd,Viking Dragonfly,DFLY
DG1T,DG Flugzeugbau GmbH,DG Flugzeugbau DG-1000,DG1T
DG50,Glaser-Dirks Flugzeugbau GmbH,Glaser-Dirks DG-500,DG50
DH60,de Havilland Aircraft Company ,de Havilland DH.60 Moth,DH60
DH82,de Havilland Aircraft Company ,de Havilland DH.82 Tiger Moth,DH82
DH87,de Havilland Aircraft Company ,de Havilland DH.87 Hornet Moth,DH87
DH88,de Havilland Aircraft Company ,de Havilland DH.88 Comet,DH88
DH94,de Havilland Aircraft Company ,de Havilland DH.94 Moth Minor,DH94
DHC1,de Havilland Aircraft of Canada Ltd,de Havilland Canada DHC-1 Chipmunk,DHC1
DIMO,Diamond Aircraft,Diamond H-36 Dimona,DIMO
DINO,Ganzavia Kft,Ganzavia GAK-22 Dino,DINO
DIPR,Collins Aero,Collins Dipper,DIPR
DJIN,Ouest-Aviation,Sud-Ouest SO.1221 Djinn,DJIN
DRIF,Austflight ULA Pty Ltd,Lockwood Drifter,DRIF
DRTG,Dart Aircraft Company,Dart G,DRTG
DUCE,Bakeng Aircraft,Bakeng Deuce,DUCE
DUOD,Schempp-Hirth Flugzeugbau GmbH,Schempp-Hirth Duo Discus,DUOD
DV1,Dova AS,Dova DV-1 Skylark,DV1
DV2,Dova AS,Dova DV-2 Infinity,DV2
DV20,Diamond Aircraft,Diamond DV-20 Katana,DV20
E200,Extra Flugzeugbau,Extra EA-200,E200
E2CB,Taylor Aircraft Company,Taylor E-2 Cub,E2CB
E300,Extra Flugzeugbau,Extra EA-300/330,E300
EAGL,Aviat Aircraft,Aviat Eagle,EAGL
EAGT,AmEagle Corporation,AmEagle American Eaglet,EAGT
EAGX,Eagle Aircraft Australia Ltd,Eagle Aircraft Eagle 100,EAGX
EC6,Emilien Croses,Croses EC-6 Criquet,EC6
ECHO,Costruzioni Aeronautiche Tecnam,Tecnam P92 Echo / Eaglet,ECHO
EDGT,Zivko Aeronautics Inc,Zivko Edge 540 T,EDGT
EFOX,Aeropro sro,Aeropro Eurofox,EFOX
EGL3,Rotorway Aircraft Inc,Rotorway Eagle 300T,EGL3
ELF,George Parnall & Company Ltd,Parnall Elf,ELF
ELST,Alfons Pützer KG,Pützer Elster,ELST
ELTR,Ehlitar OOO,Elitar IE-101 Elitar,ELTR
EM10,Edward Marganski-Zaklad Remontów i Produkcji Sprzetu Lotniczego,Marganski EM-10 Bielik,EM10
ERAC,Shirl Dickey Enterprises,Dickey E-Racer,ERAC
ERCO,Engineering and Research Corporation (ERCO),ERCO 415 Ercoupe,ERCO
ES11,AvioTecnica,Aviotecnica ES-101 Exec,ES11
ESCP,Just AirCraft LLC,Just Escapade,ESCP
EUPA,Europa Aircraft,Europa,EUPA
EVSS,Evektor spol sro,Evektor SportStar,EVSS
EXEC,Rotorway Aircraft Inc,RotorWay Exec,EXEC
EXEJ,Rotorway Aircraft Inc,RotorWay EXEC-162F,EXEJ
EZFL,Blue Yonder Aviation,Blue Yonder E-Z Flyer,EZFL
EZFT,Blue Yonder Aviation,Blue Yonder Twin E-Z Flyer,EZFT
EZIK,Istrinskiy Eksperimentalnyi Mekhanicheskiy Zavod,Istra Ezhik,EZIK
F111,General Dynamics,General Dynamics F-111 Aardvark,F111
F14,Grumman Aerospace Corporation,Grumman F-14 Tomcat,F14
F156,Gerhard Fieseler Werke,Fieseler Fi 156 Storch,F156
F1FV,OKB Avion,Avion MAI F-1 Favorit,F1FV
F30,Golden Car SpA,Golden Car F-30 Brio,F30
F4,McDonnell Douglas,McDonnell Douglas F-4 Phantom II,F4
F60,Fokker,Fokker 60,F60
F8L,Sequoia Aircraft Corporation,Sequoia F-8L Falco,F8L
FA04,Fläming Air GmbH,Fläming Air FA-04 Peregrine,FA04
FA62,Fairchild Aircraft,Fairchild PT-19,FA62
FAET,ATEC vos,ATEC 321 Faeta,FAET
FALC,American Aircraft Inc,American Aerolights Falcon,FALC
FANL,Rhein-Flugzeugbau GmbH,RFB FL-1 Fanliner,FANL
FANT,Rhein-Flugzeugbau GmbH,RFB Fantrainer,FANT
FB5,Euro-Fly Srl,Euro-Fly FB-5 Star Light,FB5
FDCT,Flight Design GmbH,Flight Design CT,FDCT
FDMC,Flight Design GmbH,Flight Design MC,FDMC
FEST,SC Aerostar SA,Aerostar R40S Festival,FEST
FFLY,Fairey Aviation Company,Fairey Firefly,FFLY
FIBO,Starfire Aviation Inc,Starfire Firebolt Convertible,FIBO
FIKD,William J.Fike,Fike D,FIKD
FIKE,William J.Fike,Fike E,FIKE
FINC,Fleet Aircraft Inc,Fleet 16 Finch,FINC
FK12,B & F Technik Vertriebs GmbH,B & F Technik FK-12 Comet,FK12
FK14,B & F Technik Vertriebs GmbH,B & F Technik FK-14 Polaris,FK14
FK9,B & F Technik Vertriebs GmbH,B & F Technik FK-9,FK9
FL3,Azionari Vercellese Industrie Aeronautiche (AVIA),Avia L-3 Aviastarlet,FL3
FL53,"Meteor SpA, Costruzione Aeronautiche",Meteor FL-53,FL53
FLE2,Fleet Aircraft Inc,Fleet 2,FLE2
FLE7,Fleet Aircraft Inc,Fleet 7 Fawn,FLE7
FLSH,Euro-Fly Srl,Euro-Fly Flash,FLSH
FM25,Flying Machines sro,Flying Machines FM-250 Vampire,FM25
FNKB,Funk Aircraft Company,Funk B,FNKB
FORT,Fleet Aircraft Inc,Fleet 60 Fort,FORT
FOUG,Etablissements Fouga et Cie,Fouga CM.170 Magister,FOUG
FOX,Denney Aerocraft Company,Denney Kitfox,FOX
FRNT,Sky Raider LLC,Sky Raider Frontier,FRNT
FRON,Frontier Aircraft Inc,Frontier Frontier MD-2,FRON
FU24,Fletcher Aviation Company,Fletcher FU-24,FU24
FW44,Focke-Wulf Flugzeugbau AG,Focke-Wulf Fw-44 Stieglitz,FW44
G1,G1 Aviation SAS,G1 Aviation G-1,G1
G103,Grob Aircraft,Grob G-103 Twin Astir,G103
G109,Grob Aircraft,Grob G-109,G109
G115,Grob Aircraft,Grob G-115,G115
G120,Grob Aircraft,Grob G-120,G120
G12T,Grob Aircraft,Grob G-120TP,G12T
G15T,Grob Aircraft,Grob G-115T Acro,G15T
G180,General Aircraft Corporation,General Aircraft G1-80 Skyfarer,G180
G202,Richard Giles,Giles G-202,G202
G2CA,Hélicoptères Guimbal,Guimbal G-2 Cabri,G2CA
G2GL,SOKO Air Mostar,SOKO G-2 Galeb,G2GL
G2T1,Great Lakes Aircraft Company Inc,Great Lakes 2T-1 Sport Trainer,G2T1
G3,Remos Aircraft GmbH,Remos G-3 Mirage,G3
G46,Fiat Aviazione,Fiat G.46,G46
G4SG,SOKO Air Mostar,SOKO G-4 Super Galeb,G4SG
G800,Jean Grinvalds,Grinvalds G-801 Orion,G800
GA20,Gippsland Aeronautics,Gippsland GA-200 Fatman,GA20
GC1,Globe Aircraft Corporation,Globe GC-1 Swift,GC1
GENI,Institut für Flugzeugbau,IFB E-Genius,GENI
GEPE,Aéro Services Guépard,Aero Services Guepe,GEPE
GLAS,Glasair Aviation LLC,Glasair,GLAS
GLST,Glasair Aviation LLC,Glasair GlaStar,GLST
GLTU,Stoddard-Hamilton Aircraft Inc,Stoddard-Hamilton Turbine Glasair,GLTU
GOLF,Costruzioni Aeronautiche Tecnam,Tecnam P96 Golf,GOLF
GOOS,Quikkit Corporation,Quikkit Glass Goose,GOOS
GOTR,Goair,Goair GT-1 Trainer,GOTR
GP1,Jihlavan Airplanes sro,Jihlavan Skyleader GP One,GP1
GP3,Osprey Aircraft,Osprey GP-3 Osprey 2,GP3
GP4,Osprey Aircraft,Osprey GP-4,GP4
GR51,Cameron & Sons Aircraft,Cameron P-51G Grand 51,GR51
GRIF,Canada Air RV Inc,Canada Air Rv Griffin,GRIF
GSIS,SlipStream Industries Inc,Slipstream Genesis,GSIS
GUEP,Aéro Services Guépard,Aero Services Guepard,GUEP
GURI,Aeromot Industria Mecanico-Metalurgica Ltda,Aeromot AMT-600 Guri,GURI
GX,Remos Aircraft GmbH,Remos GX,GX
GY20,Constructions Aéronautiques du Béarn,CAB GY-20 Minicab,GY20
GY30,Constructions Aéronautiques du Béarn,CAB GY-30 Supercab,GY30
H111,Heinkel Flugzeugwerke,Heinkel He 111,H111
H204,HB-Flugtechnik,HB Flugtechnik HB-204 Tornado,H204
H207,HB-Flugtechnik,HB Flugtechnik HB-207 Alfa,H207
H269,Schweizer Aircraft Corporation,Schweizer 300,H269
H40,Hoffmann Aircraft Flugzeugproduktion und Entwicklung GmbH,Hoffmann H-40,H40
H64,The Boeing Company,Boeing AH-64 Apache,H64
HAWK,Britisch Aerospace (BAe),BAE Hawk,HAWK
HB21,H.W.Brditschka OHG,Brditschka HB-21 Hobbylifter,HB21
HB23,H.W.Brditschka OHG,Brditschka HB-23 Hobbyliner,HB23
HB3,H.W.Brditschka OHG,Brditschka HB-3,HB3
HIGH,Just AirCraft LLC,Just Highlander,HIGH
HIND,Hawker Aircraft,Hawker Hind,HIND
HM38,Henri Mignet,Mignet HM-380,HM38
HN70,Henri Nicollier,Nicollier HN-700 Menestrel 2,HN70
HORZ,Fisher Flying Products,Fisher Horizon,HORZ
